24/04/2000	0.9378
25/04/2000	0.9203
26/04/2000	0.923
27/04/2000	0.9093
28/04/2000	0.9113
01/05/2000	0.9154
02/05/2000	0.9093
03/05/2000	0.8941
04/05/2000	0.8896
05/05/2000	0.8971
08/05/2000	0.8974
09/05/2000	0.9073
10/05/2000	0.9065
11/05/2000	0.9014
12/05/2000	0.918
15/05/2000	0.9112
16/05/2000	0.9003
17/05/2000	0.8948
18/05/2000	0.8945
19/05/2000	0.897
22/05/2000	0.9028
23/05/2000	0.9066
24/05/2000	0.9038
25/05/2000	0.9113
26/05/2000	0.9307
30/05/2000	0.9301
31/05/2000	0.9373
01/06/2000	0.9309
02/06/2000	0.9458
05/06/2000	0.9477
06/06/2000	0.9542
07/06/2000	0.9613
08/06/2000	0.9559
09/06/2000	0.953
12/06/2000	0.9532
13/06/2000	0.9594
14/06/2000	0.9577
15/06/2000	0.9544
16/06/2000	0.9645
19/06/2000	0.9564
20/06/2000	0.9545
21/06/2000	0.9443
22/06/2000	0.9354
23/06/2000	0.9351
26/06/2000	0.9365
27/06/2000	0.9452
28/06/2000	0.941
29/06/2000	0.9515
30/06/2000	0.9525
03/07/2000	0.95
05/07/2000	0.9527
06/07/2000	0.9507
07/07/2000	0.9481
10/07/2000	0.9549
11/07/2000	0.9524
12/07/2000	0.9423
13/07/2000	0.9371
14/07/2000	0.938
17/07/2000	0.9361
18/07/2000	0.9251
19/07/2000	0.9244
20/07/2000	0.933
21/07/2000	0.9369
24/07/2000	0.9332
25/07/2000	0.9382
26/07/2000	0.9429
27/07/2000	0.9314
28/07/2000	0.9231
31/07/2000	0.926
01/08/2000	0.9141
02/08/2000	0.9135
03/08/2000	0.9065
04/08/2000	0.9079
07/08/2000	0.9069
08/08/2000	0.902
09/08/2000	0.9006
10/08/2000	0.9083
11/08/2000	0.9034
14/08/2000	0.9056
15/08/2000	0.913
16/08/2000	0.9158
17/08/2000	0.9162
18/08/2000	0.9063
21/08/2000	0.9016
22/08/2000	0.8963
23/08/2000	0.9016
24/08/2000	0.9024
25/08/2000	0.902
28/08/2000	0.8997
29/08/2000	0.8921
30/08/2000	0.8938
31/08/2000	0.8877
01/09/2000	0.8996
05/09/2000	0.8895
06/09/2000	0.8701
07/09/2000	0.8712
08/09/2000	0.8666
11/09/2000	0.8574
12/09/2000	0.8637
13/09/2000	0.8592
14/09/2000	0.8643
15/09/2000	0.8538
18/09/2000	0.8534
19/09/2000	0.8505
20/09/2000	0.8488
21/09/2000	0.8595
22/09/2000	0.8764
25/09/2000	0.8743
26/09/2000	0.883
